epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,1081.26,1.07025,0.70449,0.88831,0.96327,0.96667,0.98974,0.73731,0.95213,0.76569,0.87789,0.0088615,0.0088615,0.0088615
25,1127.61,1.02202,0.67768,0.8717,0.99829,0.96667,0.98867,0.76202,0.86298,0.68296,0.87956,0.008812,0.008812,0.008812
26,1165.16,1.01481,0.63449,0.87507,0.97775,0.98333,0.99279,0.72914,0.93956,0.70479,0.88328,0.0087625,0.0087625,0.0087625
27,1210.26,0.9522,0.63846,0.88086,0.98361,0.99992,0.99008,0.74666,0.86997,0.6615,0.87021,0.008713,0.008713,0.008713
28,1250.8,0.98964,0.61221,0.86454,0.99853,1,0.995,0.75888,0.89337,0.6349,0.86937,0.0086635,0.0086635,0.0086635
29,1295.77,0.97191,0.62668,0.86423,1,0.99769,0.995,0.72361,0.92451,0.63954,0.85364,0.008614,0.008614,0.008614
30,1339.02,0.95741,0.64988,0.87409,0.9836,0.99935,0.99451,0.76792,0.82437,0.61573,0.85048,0.0085645,0.0085645,0.0085645
31,1377.13,1.0084,0.64904,0.86347,0.98088,0.98333,0.99187,0.74446,0.91192,0.61835,0.88052,0.008515,0.008515,0.008515
32,1430.84,0.97838,0.62451,0.86756,1,0.99647,0.995,0.75018,0.86104,0.61931,0.85531,0.0084655,0.0084655,0.0084655
33,1499.63,0.95387,0.60668,0.84906,0.98353,0.99519,0.99484,0.77343,0.78314,0.54927,0.84685,0.008416,0.008416,0.008416
34,1555.48,0.93952,0.59526,0.87387,0.96772,0.99922,0.99218,0.72938,0.91131,0.63084,0.8603,0.0083665,0.0083665,0.0083665
35,1609.54,0.94622,0.61281,0.8828,0.99564,0.95,0.99321,0.71044,0.86069,0.62946,0.85891,0.008317,0.008317,0.008317
36,1655.65,0.93393,0.58921,0.84742,0.99173,0.98333,0.99437,0.73638,0.88921,0.62679,0.87628,0.0082675,0.0082675,0.0082675
37,1702.78,0.90842,0.5686,0.86125,0.99559,0.98333,0.99468,0.75554,0.86279,0.59162,0.86351,0.008218,0.008218,0.008218
38,1741.96,0.89995,0.56147,0.84595,0.99799,0.98333,0.99423,0.80681,0.75749,0.56333,0.84044,0.0081685,0.0081685,0.0081685
39,1804.76,0.86983,0.55966,0.8554,0.98529,0.98333,0.99409,0.74812,0.91639,0.63548,0.86412,0.008119,0.008119,0.008119
40,1872.74,0.93651,0.58485,0.84675,0.98356,0.99691,0.99484,0.80233,0.75033,0.55921,0.83538,0.0080695,0.0080695,0.0080695
41,1947.33,0.85896,0.5416,0.8424,0.98357,0.99799,0.99451,0.77696,0.80601,0.55311,0.85041,0.00802,0.00802,0.00802
42,2002.94,0.93189,0.55874,0.86625,1,0.98773,0.995,0.74819,0.86697,0.58385,0.86056,0.0079705,0.0079705,0.0079705
43,2064.06,0.88554,0.5512,0.86136,1,0.99913,0.995,0.74492,0.84948,0.5762,0.84838,0.007921,0.007921,0.007921
44,2129.39,0.8461,0.55556,0.84003,0.96412,1,0.99339,0.7625,0.83272,0.5648,0.84814,0.0078715,0.0078715,0.0078715
45,2174.8,0.88526,0.55793,0.85611,0.99991,0.96667,0.99387,0.78881,0.78103,0.54388,0.8429,0.007822,0.007822,0.007822
46,2222.13,0.83736,0.54597,0.86695,1,0.98147,0.995,0.76319,0.85099,0.57558,0.85484,0.0077725,0.0077725,0.0077725
47,2264.95,0.86419,0.55808,0.85786,0.97821,1,0.99484,0.76226,0.85242,0.56565,0.85333,0.007723,0.007723,0.007723
48,2304.91,0.87903,0.53501,0.85422,0.98357,0.998,0.99484,0.78732,0.77573,0.53622,0.84514,0.0076735,0.0076735,0.0076735
49,2338.49,0.83481,0.52812,0.85731,0.96757,0.99446,0.99401,0.7843,0.78597,0.54838,0.84378,0.007624,0.007624,0.007624
50,2385.45,0.82285,0.52415,0.85533,0.97185,1,0.99418,0.766,0.81644,0.53909,0.84583,0.0075745,0.0075745,0.0075745
51,2425.35,0.8106,0.51598,0.85148,0.98308,0.96814,0.99419,0.76305,0.84489,0.56319,0.84936,0.007525,0.007525,0.007525
52,2458.67,0.82284,0.52109,0.83983,1,0.99979,0.995,0.82398,0.74063,0.53158,0.82802,0.0074755,0.0074755,0.0074755
53,2499.81,0.83217,0.50855,0.8323,1,0.99644,0.995,0.81639,0.74799,0.50436,0.82323,0.007426,0.007426,0.007426
54,2536.61,0.81624,0.50842,0.87137,0.99279,1,0.995,0.81282,0.72291,0.51883,0.82724,0.0073765,0.0073765,0.0073765
55,2577.53,0.79015,0.49894,0.85625,0.99848,1,0.995,0.80273,0.76254,0.53448,0.8288,0.007327,0.007327,0.007327
56,2612.52,0.78116,0.50675,0.8475,0.98029,1,0.99484,0.80627,0.74329,0.49161,0.82983,0.0072775,0.0072775,0.0072775
57,2651.76,0.83949,0.50266,0.85499,0.9803,1,0.99451,0.78533,0.76374,0.49225,0.83504,0.007228,0.007228,0.007228
58,2691.76,0.79213,0.51966,0.82091,0.98578,1,0.995,0.79558,0.75932,0.52029,0.83003,0.0071785,0.0071785,0.0071785
59,2739.47,0.79086,0.50972,0.84235,0.99158,1,0.995,0.81483,0.70064,0.48472,0.82812,0.007129,0.007129,0.007129
60,2779.6,0.79222,0.49226,0.83604,0.98171,1,0.995,0.77735,0.77855,0.51252,0.83529,0.0070795,0.0070795,0.0070795
61,2822.13,0.80586,0.49074,0.84237,1,0.99988,0.995,0.79481,0.76634,0.4957,0.83898,0.00703,0.00703,0.00703
62,2862.02,0.78088,0.50348,0.82315,1,0.99887,0.995,0.77769,0.77799,0.5264,0.84223,0.0069805,0.0069805,0.0069805
63,2896.76,0.76185,0.48358,0.83102,0.99921,1,0.995,0.79622,0.77542,0.50681,0.84048,0.006931,0.006931,0.006931
64,2946.58,0.7949,0.48079,0.84496,1,0.99737,0.995,0.80752,0.74033,0.49827,0.83492,0.0068815,0.0068815,0.0068815
65,2988.87,0.73965,0.47306,0.80949,0.9967,0.98333,0.99484,0.83192,0.70326,0.47155,0.82175,0.006832,0.006832,0.006832
66,3027.89,0.75433,0.45015,0.83679,0.98357,0.99798,0.99402,0.8418,0.6977,0.48302,0.82241,0.0067825,0.0067825,0.0067825
67,3073.74,0.77434,0.48316,0.86094,1,0.99995,0.995,0.81976,0.72153,0.44991,0.82116,0.006733,0.006733,0.006733
68,3110.89,0.77626,0.48415,0.84173,1,0.99966,0.995,0.7886,0.78723,0.48545,0.82848,0.0066835,0.0066835,0.0066835
69,3155.66,0.75637,0.47495,0.83042,1,0.9916,0.995,0.79984,0.74675,0.47518,0.82563,0.006634,0.006634,0.006634
70,3188.98,0.73937,0.4721,0.84063,0.98359,0.99897,0.99451,0.81799,0.69091,0.47288,0.81392,0.0065845,0.0065845,0.0065845
71,3228.75,0.69775,0.46073,0.83665,0.99991,1,0.995,0.81663,0.70516,0.47653,0.82025,0.006535,0.006535,0.006535
72,3271.66,0.71593,0.44183,0.83528,0.99655,1,0.995,0.80171,0.71982,0.4801,0.81481,0.0064855,0.0064855,0.0064855
73,3312.29,0.72543,0.45217,0.82,0.98073,1,0.99484,0.79147,0.7528,0.4825,0.81878,0.006436,0.006436,0.006436
74,3361.61,0.74606,0.46877,0.83064,0.98188,1,0.99484,0.82017,0.69711,0.45679,0.8118,0.0063865,0.0063865,0.0063865
75,3403.77,0.71321,0.45486,0.83387,0.98135,1,0.99484,0.82405,0.69424,0.45326,0.80706,0.006337,0.006337,0.006337
76,3444.56,0.74693,0.45636,0.82438,1,0.9963,0.995,0.82521,0.72309,0.45983,0.81814,0.0062875,0.0062875,0.0062875
77,3479.15,0.71303,0.45288,0.83879,0.9796,1,0.99402,0.81346,0.71687,0.4808,0.82059,0.006238,0.006238,0.006238
78,3515.57,0.74386,0.4688,0.82206,0.98349,0.99295,0.99402,0.83165,0.69678,0.46552,0.81912,0.0061885,0.0061885,0.0061885
79,3546.88,0.71188,0.44873,0.82213,0.99688,1,0.995,0.83659,0.69353,0.46007,0.81743,0.006139,0.006139,0.006139
80,3591.16,0.66964,0.44748,0.82465,0.99587,1,0.995,0.82543,0.69212,0.44613,0.81585,0.0060895,0.0060895,0.0060895
81,3630.64,0.70091,0.44033,0.82663,1,0.99763,0.995,0.82785,0.67101,0.43675,0.81755,0.00604,0.00604,0.00604
82,3676.44,0.71493,0.44162,0.83697,1,0.99768,0.995,0.80931,0.75108,0.46405,0.82312,0.0059905,0.0059905,0.0059905
83,3714.8,0.72322,0.45623,0.81641,1,0.99969,0.995,0.82811,0.70562,0.43109,0.81428,0.005941,0.005941,0.005941
84,3750.43,0.71814,0.45243,0.83568,0.99924,1,0.995,0.85124,0.67197,0.45029,0.80926,0.0058915,0.0058915,0.0058915
85,3784.85,0.686,0.44169,0.82871,0.96663,1,0.99384,0.80976,0.74083,0.46624,0.82032,0.005842,0.005842,0.005842
86,3822.78,0.67876,0.43883,0.82861,1,0.99668,0.995,0.84544,0.69622,0.45049,0.81389,0.0057925,0.0057925,0.0057925
87,3860.23,0.72032,0.45112,0.81357,0.99346,1,0.995,0.83011,0.68783,0.44786,0.81069,0.005743,0.005743,0.005743
88,3898.4,0.67926,0.42281,0.829,1,0.99535,0.995,0.83171,0.70247,0.44833,0.82295,0.0056935,0.0056935,0.0056935
89,3935.14,0.68806,0.44016,0.83026,0.99948,1,0.995,0.82098,0.70014,0.44529,0.81825,0.005644,0.005644,0.005644
90,3973.53,0.70422,0.44177,0.83357,0.97583,1,0.99451,0.83318,0.68155,0.43764,0.81944,0.0055945,0.0055945,0.0055945
91,4010.23,0.64275,0.43302,0.81382,0.97934,1,0.99451,0.8339,0.71578,0.43774,0.81709,0.005545,0.005545,0.005545
92,4047.69,0.69407,0.44198,0.83178,1,0.99329,0.995,0.83315,0.71129,0.43308,0.81199,0.0054955,0.0054955,0.0054955
93,4080.07,0.67478,0.4322,0.82303,0.98329,0.98093,0.99287,0.80817,0.72934,0.47104,0.81884,0.005446,0.005446,0.005446
94,4118.3,0.68813,0.43683,0.81038,0.98353,0.9954,0.99451,0.81623,0.72904,0.47195,0.81474,0.0053965,0.0053965,0.0053965
95,4152.59,0.63594,0.42005,0.82921,0.97927,1,0.99402,0.83926,0.67446,0.453,0.81192,0.005347,0.005347,0.005347
96,4195.02,0.66687,0.41687,0.82545,0.97338,1,0.99402,0.8401,0.67379,0.43559,0.8102,0.0052975,0.0052975,0.0052975
97,4237.44,0.66746,0.42885,0.81919,0.98076,1,0.99418,0.85656,0.66394,0.43789,0.81084,0.005248,0.005248,0.005248
98,4276.06,0.64269,0.47947,0.7949,0.97997,1,0.99418,0.84464,0.65076,0.43401,0.80892,0.0051985,0.0051985,0.0051985
99,4317,0.66185,0.41605,0.83504,0.99803,0.98333,0.99423,0.82984,0.68549,0.44416,0.81892,0.005149,0.005149,0.005149
100,4349.49,0.63943,0.41463,0.82746,0.99328,0.98333,0.9937,0.82121,0.67413,0.44114,0.81231,0.0050995,0.0050995,0.0050995
101,4399.1,0.66318,0.41402,0.81362,1,0.97863,0.99437,0.85618,0.6337,0.41182,0.80701,0.00505,0.00505,0.00505
102,4438.15,0.68432,0.43183,0.84406,0.97829,1,0.99451,0.83876,0.66448,0.41891,0.81489,0.0050005,0.0050005,0.0050005
103,4476.85,0.69366,0.42846,0.82329,0.98356,0.99733,0.99484,0.84944,0.68071,0.4345,0.81833,0.004951,0.004951,0.004951
104,4516.14,0.6785,0.41504,0.8143,0.98359,0.9991,0.9932,0.83633,0.64884,0.41718,0.81666,0.0049015,0.0049015,0.0049015
105,4549.62,0.62953,0.40772,0.81543,0.9949,0.98333,0.99484,0.85107,0.62939,0.39167,0.81449,0.004852,0.004852,0.004852
106,4589.49,0.64644,0.40011,0.82882,1,0.99924,0.995,0.83514,0.7089,0.41535,0.82086,0.0048025,0.0048025,0.0048025
107,4624.6,0.64501,0.41827,0.82595,0.9988,1,0.995,0.83688,0.65958,0.40434,0.81645,0.004753,0.004753,0.004753
108,4675.53,0.63186,0.407,0.81262,0.99289,1,0.995,0.84609,0.69136,0.42043,0.81484,0.0047035,0.0047035,0.0047035
109,4722.01,0.61479,0.40439,0.81949,1,0.99761,0.995,0.84133,0.69304,0.41259,0.81457,0.004654,0.004654,0.004654
110,4759.1,0.60785,0.38902,0.81469,1,0.98154,0.99484,0.83363,0.6671,0.4124,0.82064,0.0046045,0.0046045,0.0046045
111,4818.49,0.61646,0.40483,0.81217,1,0.9805,0.99468,0.84626,0.66304,0.42569,0.81766,0.004555,0.004555,0.004555
112,4857.54,0.62699,0.39663,0.81895,0.99903,0.98333,0.99484,0.8514,0.64195,0.41363,0.80825,0.0045055,0.0045055,0.0045055
113,4896.58,0.64345,0.41738,0.81696,0.99883,1,0.995,0.86651,0.61243,0.38991,0.80384,0.004456,0.004456,0.004456
114,4931.1,0.63741,0.39409,0.82468,0.99867,1,0.995,0.87239,0.60625,0.37327,0.80404,0.0044065,0.0044065,0.0044065
115,4980.32,0.63977,0.39519,0.81861,1,0.99931,0.995,0.86883,0.61044,0.39375,0.80326,0.004357,0.004357,0.004357
116,5036.54,0.59531,0.36751,0.82255,0.99838,0.98333,0.99468,0.84472,0.6462,0.40773,0.8067,0.0043075,0.0043075,0.0043075
117,5085.29,0.60142,0.38219,0.82883,0.99751,0.98333,0.99484,0.84314,0.65928,0.4076,0.80909,0.004258,0.004258,0.004258
118,5131.7,0.58372,0.38135,0.81054,1,0.98155,0.99468,0.85011,0.63778,0.3928,0.80695,0.0042085,0.0042085,0.0042085
119,5184.25,0.58609,0.38227,0.81006,0.9835,0.99366,0.99451,0.85644,0.63223,0.39963,0.80971,0.004159,0.004159,0.004159
120,5221.91,0.59787,0.38096,0.81375,0.96711,1,0.99218,0.84484,0.68183,0.41349,0.80805,0.0041095,0.0041095,0.0041095
121,5256.72,0.58992,0.39197,0.81273,0.96296,1,0.98861,0.83902,0.63502,0.41024,0.80458,0.00406,0.00406,0.00406
122,5293.81,0.59556,0.36914,0.80634,0.96102,1,0.9871,0.83587,0.63827,0.42078,0.80155,0.0040105,0.0040105,0.0040105
123,5328.79,0.59001,0.37787,0.81721,0.98352,0.99481,0.99369,0.84808,0.62568,0.40679,0.7972,0.003961,0.003961,0.003961
124,5369.87,0.60268,0.37978,0.80577,0.97716,1,0.99402,0.84755,0.62591,0.41368,0.79789,0.0039115,0.0039115,0.0039115
125,5412.78,0.60168,0.3699,0.81273,0.98352,0.99499,0.99402,0.84472,0.65364,0.42634,0.80571,0.003862,0.003862,0.003862
126,5460.1,0.59084,0.38901,0.81096,0.97771,1,0.99402,0.85635,0.64821,0.39952,0.80373,0.0038125,0.0038125,0.0038125
127,5497.45,0.56745,0.37994,0.8113,0.97667,1,0.99451,0.85385,0.61395,0.37929,0.80099,0.003763,0.003763,0.003763
128,5537.98,0.65279,0.39123,0.8347,1,0.97837,0.99468,0.8572,0.61677,0.37535,0.80019,0.0037135,0.0037135,0.0037135
129,5587.02,0.58368,0.35979,0.80786,0.99672,0.98333,0.99468,0.85308,0.6378,0.38927,0.79856,0.003664,0.003664,0.003664
130,5636.68,0.58026,0.36798,0.81207,0.98192,0.98333,0.99468,0.86392,0.59807,0.38574,0.79744,0.0036145,0.0036145,0.0036145
131,5677.23,0.6011,0.37608,0.8176,0.97733,1,0.99402,0.83901,0.67747,0.40764,0.80869,0.003565,0.003565,0.003565
132,5725.04,0.5382,0.35717,0.80489,0.9948,1,0.995,0.84332,0.65322,0.40266,0.80542,0.0035155,0.0035155,0.0035155
133,5772.42,0.54391,0.35888,0.80838,1,0.99677,0.995,0.84896,0.64492,0.39392,0.80275,0.003466,0.003466,0.003466
134,5808.73,0.54786,0.36617,0.80539,0.98224,1,0.99451,0.85798,0.6241,0.3829,0.79991,0.0034165,0.0034165,0.0034165
135,5842.36,0.55204,0.3653,0.81372,0.98249,1,0.99484,0.85482,0.63833,0.39272,0.80213,0.003367,0.003367,0.003367
136,5880.78,0.55595,0.35801,0.80701,1,0.99836,0.995,0.85787,0.61709,0.37413,0.80081,0.0033175,0.0033175,0.0033175
137,5912.62,0.5493,0.36643,0.81216,0.99925,1,0.995,0.85954,0.63264,0.36884,0.80134,0.003268,0.003268,0.003268
138,5955.64,0.55483,0.35697,0.8049,1,0.99543,0.995,0.86622,0.61673,0.36513,0.79853,0.0032185,0.0032185,0.0032185
139,5987.88,0.57654,0.36767,0.80466,0.98256,1,0.99484,0.85932,0.62292,0.37499,0.79693,0.003169,0.003169,0.003169
140,6030.4,0.54263,0.35791,0.79578,0.9979,0.98333,0.99437,0.85273,0.61554,0.38383,0.79627,0.0031195,0.0031195,0.0031195
141,6073.54,0.5713,0.36573,0.80084,0.99341,0.98333,0.99452,0.8479,0.63794,0.39053,0.79988,0.00307,0.00307,0.00307
142,6117.2,0.5519,0.35589,0.81292,0.98589,0.98333,0.99437,0.84379,0.65019,0.39404,0.79934,0.0030205,0.0030205,0.0030205
143,6162.88,0.54813,0.3427,0.79409,0.98128,0.98333,0.99354,0.86306,0.60696,0.36991,0.79287,0.002971,0.002971,0.002971
144,6204.77,0.55259,0.36224,0.80585,0.98145,0.98333,0.99404,0.85684,0.59963,0.36758,0.79354,0.0029215,0.0029215,0.0029215
145,6247.75,0.54578,0.35361,0.81342,0.99484,0.96667,0.99419,0.85782,0.61123,0.37366,0.79662,0.002872,0.002872,0.002872
146,6282.98,0.55498,0.35066,0.80499,0.98341,0.98816,0.99402,0.86069,0.6217,0.38527,0.79653,0.0028225,0.0028225,0.0028225
147,6322.56,0.49902,0.32976,0.79654,0.98324,0.97805,0.99419,0.86026,0.59373,0.38583,0.79623,0.002773,0.002773,0.002773
148,6368.99,0.54988,0.35034,0.82309,0.98328,0.98024,0.99369,0.87179,0.6014,0.39114,0.79633,0.0027235,0.0027235,0.0027235
149,6418.16,0.55264,0.34711,0.81501,0.98325,0.97855,0.99354,0.8721,0.5902,0.3912,0.7986,0.002674,0.002674,0.002674
150,6461.62,0.5098,0.34254,0.79702,0.98177,0.98333,0.99384,0.87437,0.58962,0.38106,0.79788,0.0026245,0.0026245,0.0026245
151,6509.03,0.5401,0.34231,0.81823,0.98352,0.99486,0.99451,0.86385,0.60684,0.38255,0.80146,0.002575,0.002575,0.002575
152,6556.07,0.53293,0.33751,0.80759,0.97991,1,0.99484,0.85876,0.60124,0.36999,0.80535,0.0025255,0.0025255,0.0025255
153,6597.24,0.521,0.34137,0.81116,0.98176,1,0.995,0.86248,0.58805,0.35866,0.79819,0.002476,0.002476,0.002476
154,6643.88,0.54029,0.34524,0.80829,0.98345,1,0.995,0.85689,0.60513,0.364,0.79818,0.0024265,0.0024265,0.0024265
155,6676.22,0.52378,0.33859,0.79217,0.98357,0.99768,0.99484,0.87058,0.58149,0.36186,0.7956,0.002377,0.002377,0.002377
156,6716.3,0.53161,0.34354,0.80091,0.99382,0.98333,0.99468,0.86919,0.57768,0.3585,0.79348,0.0023275,0.0023275,0.0023275
157,6755.01,0.50146,0.3274,0.79582,0.98568,0.98333,0.99468,0.86614,0.58188,0.35343,0.79393,0.002278,0.002278,0.002278
158,6793.26,0.52938,0.33931,0.79178,0.99253,0.98333,0.99452,0.86901,0.60107,0.36224,0.79446,0.0022285,0.0022285,0.0022285
159,6834.85,0.50329,0.32999,0.81075,0.9833,0.98333,0.99468,0.86922,0.58317,0.35104,0.79366,0.002179,0.002179,0.002179
160,6877.74,0.49749,0.32286,0.79355,0.99452,0.98333,0.99468,0.86807,0.58641,0.36641,0.79206,0.0021295,0.0021295,0.0021295
161,6918.56,0.49751,0.31626,0.80432,0.99344,0.98333,0.99452,0.88172,0.5654,0.3494,0.78984,0.00208,0.00208,0.00208
162,6957.7,0.49168,0.32445,0.79788,0.99438,0.98333,0.99437,0.88598,0.57233,0.33604,0.79175,0.0020305,0.0020305,0.0020305
163,6991.26,0.48568,0.3236,0.80243,0.99482,0.98333,0.99452,0.8813,0.59033,0.34973,0.7918,0.001981,0.001981,0.001981
164,7045,0.49956,0.32711,0.80268,0.9985,0.98333,0.99452,0.87473,0.58381,0.34699,0.79131,0.0019315,0.0019315,0.0019315
165,7092.72,0.46533,0.31382,0.7891,0.99889,0.98333,0.99452,0.87753,0.58012,0.34526,0.78907,0.001882,0.001882,0.001882
166,7128.52,0.50208,0.31379,0.80501,0.99907,0.98333,0.99468,0.88404,0.57637,0.35273,0.78921,0.0018325,0.0018325,0.0018325
167,7166.6,0.4897,0.3157,0.80819,0.99892,0.98333,0.99468,0.87833,0.57617,0.35435,0.79153,0.001783,0.001783,0.001783
168,7208.98,0.49865,0.32005,0.79659,1,0.99794,0.995,0.88211,0.58599,0.3484,0.79168,0.0017335,0.0017335,0.0017335
169,7249.63,0.48412,0.32231,0.80809,1,0.99781,0.995,0.88759,0.57028,0.34487,0.78945,0.001684,0.001684,0.001684
170,7290.78,0.50907,0.33361,0.7941,1,0.99413,0.995,0.88045,0.56905,0.34532,0.78986,0.0016345,0.0016345,0.0016345
171,7348.55,0.47737,0.31349,0.78652,0.98215,1,0.99451,0.87285,0.58014,0.34317,0.79528,0.001585,0.001585,0.001585
172,7401.94,0.49353,0.32544,0.80687,0.98196,1,0.99484,0.87234,0.57134,0.33455,0.79328,0.0015355,0.0015355,0.0015355
173,7455.85,0.48606,0.31082,0.80721,0.99052,0.98333,0.99484,0.87008,0.58149,0.33761,0.79304,0.001486,0.001486,0.001486
174,7505.47,0.47544,0.31749,0.80223,0.9949,0.98333,0.99484,0.86451,0.59347,0.34785,0.79229,0.0014365,0.0014365,0.0014365
175,7541.81,0.48945,0.32193,0.80141,0.99503,0.98333,0.99484,0.86841,0.58383,0.33637,0.79117,0.001387,0.001387,0.001387
176,7580.37,0.48623,0.31214,0.79995,0.99611,0.98333,0.99468,0.86513,0.58679,0.34956,0.79326,0.0013375,0.0013375,0.0013375
177,7625.59,0.46663,0.30664,0.78207,0.996,0.98333,0.99468,0.87122,0.57613,0.35903,0.79285,0.001288,0.001288,0.001288
178,7663.41,0.46729,0.31015,0.81073,0.99495,0.98333,0.99468,0.86431,0.592,0.35628,0.79469,0.0012385,0.0012385,0.0012385
179,7697.06,0.4754,0.31484,0.8043,0.96769,0.99846,0.99434,0.86337,0.59406,0.35114,0.79394,0.001189,0.001189,0.001189
180,7736.47,0.4578,0.30433,0.80121,0.96453,1,0.99434,0.87074,0.57771,0.34756,0.79278,0.0011395,0.0011395,0.0011395
181,7768.71,0.4722,0.31134,0.80099,0.96547,1,0.99384,0.8725,0.59735,0.35729,0.79427,0.00109,0.00109,0.00109
182,7804.25,0.43606,0.29041,0.80117,0.98286,1,0.99451,0.8767,0.60029,0.3453,0.7934,0.0010405,0.0010405,0.0010405
183,7838.25,0.49821,0.32433,0.79431,0.98176,1,0.99451,0.87633,0.58894,0.34689,0.79249,0.000991,0.000991,0.000991
184,7878.72,0.44027,0.31403,0.78249,0.98192,1,0.99451,0.87693,0.59917,0.34905,0.79351,0.0009415,0.0009415,0.0009415
185,7910.86,0.44342,0.29533,0.79339,0.98354,1,0.99451,0.88251,0.57978,0.34244,0.79107,0.000892,0.000892,0.000892
186,7950.11,0.46052,0.30202,0.80057,0.9836,0.99953,0.99451,0.87149,0.58696,0.34373,0.7904,0.0008425,0.0008425,0.0008425
187,7982.2,0.45395,0.29469,0.79139,0.98274,1,0.99402,0.86635,0.60883,0.34757,0.79129,0.000793,0.000793,0.000793
188,8019.11,0.46358,0.29891,0.7815,0.98218,1,0.99402,0.8803,0.58605,0.34471,0.78967,0.0007435,0.0007435,0.0007435
189,8056.55,0.45356,0.29667,0.79495,0.98203,1,0.99402,0.8779,0.58903,0.33827,0.7895,0.000694,0.000694,0.000694
190,8088.86,0.45976,0.30004,0.79469,0.98231,1,0.99402,0.87402,0.59901,0.33923,0.78994,0.0006445,0.0006445,0.0006445
191,8126.74,0.57106,0.35151,0.81315,0.98355,0.99636,0.99402,0.86666,0.60311,0.3481,0.79148,0.000595,0.000595,0.000595
192,8160.54,0.58045,0.3376,0.83632,0.96769,0.99848,0.99384,0.86646,0.585,0.3379,0.79029,0.0005455,0.0005455,0.0005455
